date,country,cases,deaths,recovered,cases_daily,deaths_daily,temperature (degC),urban_temperature (degC),wind_speed (m/s),humidex (degC),soil_temperature_level_1 (degC),wind_speed (m/s).1,wind_direction (deg),surface_solar_radiation (W/m^2),surface_thermal_radiation (W/m^2),surface_direct_solar_radiation (W/m^2),direct_normal_solar_radiation (W/m^2),surface_diffuse_solar_radiation (W/m^2),relative_humidity (0-1),surface_pressure (Pa),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),snowfall (mm of water equivalent)
2020-02-26,Brazil,1,0,0,1,0,25.218749999999996,29.739583333333332,0.8704166666666667,35.59458333333333,25.862083333333334,0.8704166666666667,147.19583333333335,247.33333333333334,417.0,168.37500000000003,236.625,79.20833333333333,0.8858333333333333,96828.105,0.9037499999999999,0.44375000000000003,0.0
2020-02-27,Brazil,1,0,0,0,0,25.267916666666668,30.040833333333335,1.3575,35.430416666666666,25.78916666666667,1.3575,252.7875,239.33333333333334,417.875,167.87791666666666,228.0,71.75,0.8720833333333333,96829.93333333333,0.7949999999999999,0.21041666666666667,0.0
2020-02-28,Brazil,1,0,0,0,0,24.969583333333333,29.325416666666673,1.1691666666666667,34.99875000000001,25.49541666666667,1.1691666666666667,291.1979166666667,189.75,412.875,84.40333333333334,114.58333333333333,105.66666666666667,0.8820833333333332,96979.44541666667,0.9533333333333331,0.1683333333333333,0.0
2020-02-29,Brazil,2,0,0,1,0,23.858333333333338,28.181250000000006,0.8458333333333333,33.79708333333333,24.88791666666667,0.8458333333333333,254.73208333333332,178.375,415.625,66.25208333333335,107.75,112.41666666666667,0.9325,97080.63958333332,0.9791666666666665,0.20875,0.0
2020-03-01,Brazil,2,0,0,0,0,24.382083333333338,28.294583333333335,0.7616666666666666,34.59666666666667,24.941666666666674,0.7616666666666666,136.99416666666664,193.33333333333334,413.0416666666667,95.86125000000004,129.79166666666666,97.70833333333333,0.9179166666666668,96974.6675,0.9575,0.4733333333333334,0.0
2020-03-02,Brazil,2,0,0,0,0,23.99666666666667,27.468749999999996,1.3862499999999995,34.440000000000005,24.681249999999995,1.3862499999999995,275.52666666666664,126.75,417.1666666666667,27.096666666666675,32.416666666666664,99.95833333333333,0.9495833333333331,96897.64083333331,0.9983333333333334,0.7195833333333334,0.0
2020-03-03,Brazil,2,0,0,0,0,23.93708333333333,26.463333333333335,1.7300000000000002,34.16291666666667,24.374583333333337,1.7300000000000002,319.29666666666657,124.375,417.4166666666667,56.34041666666667,95.5,68.20833333333333,0.9420833333333333,96913.04458333335,0.9683333333333333,0.7187499999999999,0.0
2020-03-04,Brazil,4,0,0,2,0,24.83416666666666,27.51625000000001,1.320833333333333,34.71791666666666,25.132500000000004,1.320833333333333,263.72875,214.875,414.6666666666667,124.04458333333334,166.83333333333334,91.125,0.8825,97025.75124999999,0.7933333333333333,0.14208333333333334,0.0
2020-03-05,Brazil,4,0,0,0,0,24.42583333333333,27.84708333333334,1.1983333333333335,34.67250000000001,24.940416666666675,1.1983333333333335,117.04458333333334,167.79166666666666,414.0,74.84833333333334,111.83333333333333,93.125,0.9183333333333334,97016.83541666668,0.8550000000000001,0.5483333333333332,0.0
2020-03-06,Brazil,13,0,0,9,0,23.79666666666667,26.99333333333333,1.418333333333333,33.56791666666667,24.579583333333332,1.418333333333333,275.8575,139.20833333333334,414.7083333333333,46.72833333333333,63.25,92.75,0.9241666666666665,96983.32166666667,0.9845833333333331,0.6570833333333332,0.0
2020-03-07,Brazil,13,0,0,0,0,25.17125,27.930833333333336,1.0512500000000002,35.43083333333333,25.23875,1.0512500000000002,255.21,210.75,415.7916666666667,127.37416666666667,173.54166666666666,83.70833333333333,0.8833333333333332,96803.36958333333,0.914583333333333,0.4575000000000001,0.0
2020-03-08,Brazil,20,0,0,7,0,24.202916666666667,27.737083333333334,1.3591666666666666,34.170833333333334,24.857083333333335,1.3591666666666666,251.91208333333336,156.125,416.7083333333333,51.82083333333333,59.791666666666664,104.54166666666667,0.9166666666666665,96887.60166666667,0.9983333333333334,0.7816666666666666,0.0
2020-03-09,Brazil,25,0,0,5,0,25.051666666666666,27.978333333333335,0.9887500000000004,35.33708333333334,24.929999999999996,0.9887500000000004,241.0979166666667,182.16666666666666,415.3333333333333,106.47666666666667,146.29166666666666,75.95833333333333,0.8895833333333334,96947.08874999998,0.7850000000000001,0.5750000000000001,0.0
2020-03-10,Brazil,31,0,0,6,0,24.428750000000004,27.64625,1.6408333333333334,34.913333333333334,24.942083333333333,1.6408333333333334,181.14,152.08333333333334,419.1666666666667,54.95041666666666,74.45833333333333,97.33333333333333,0.9312499999999996,96893.35333333333,0.9733333333333335,1.0233333333333334,0.0
2020-03-11,Brazil,38,0,0,7,0,23.367500000000007,26.111666666666665,2.1029166666666668,33.062083333333334,24.068749999999998,2.1029166666666668,163.92,95.79166666666667,415.9583333333333,26.90083333333334,42.166666666666664,69.08333333333333,0.9437500000000001,96790.88666666664,0.9754166666666665,1.1245833333333335,0.0
2020-03-12,Brazil,52,0,0,14,0,24.069999999999997,26.739166666666666,1.0929166666666668,33.57083333333333,24.576666666666657,1.0929166666666668,201.22624999999996,203.41666666666666,413.8333333333333,115.84708333333333,148.58333333333334,87.79166666666667,0.9004166666666666,96803.98416666668,0.9725000000000001,0.5866666666666667,0.0
2020-03-13,Brazil,151,0,0,99,0,24.307083333333328,27.732499999999998,1.5091666666666665,34.20875,24.991666666666664,1.5091666666666665,82.94833333333334,216.75,406.2083333333333,141.65333333333336,195.375,75.375,0.9099999999999998,96823.76333333332,0.9254166666666666,0.6391666666666667,0.0
2020-03-14,Brazil,151,0,0,0,0,24.812916666666666,27.95416666666667,1.6925000000000006,34.96333333333333,24.82416666666666,1.6925000000000006,94.46875,188.08333333333334,415.5,91.73583333333333,125.08333333333333,96.58333333333333,0.8933333333333332,96865.94375000002,0.9383333333333331,0.7233333333333333,0.0
2020-03-15,Brazil,162,0,0,11,0,23.112916666666663,27.173333333333332,1.126666666666667,32.46041666666667,24.874583333333334,1.126666666666667,117.3779166666667,168.45833333333334,415.0416666666667,64.30125000000001,76.125,104.33333333333333,0.9375,96963.54125000001,0.9908333333333332,0.7804166666666666,0.0
2020-03-16,Brazil,200,0,1,38,0,24.722916666666666,27.687499999999996,1.5270833333333333,33.78458333333333,24.732083333333335,1.5270833333333333,57.623333333333335,205.41666666666666,409.5416666666667,112.87375000000002,152.95833333333334,92.83333333333333,0.8470833333333331,96954.45708333333,0.8945833333333333,0.2625,0.0
2020-03-17,Brazil,321,1,2,121,1,25.081666666666667,28.332499999999996,1.4887499999999996,34.81875,24.956249999999997,1.4887499999999996,65.73,206.0,410.5833333333333,120.83875,167.29166666666666,85.41666666666667,0.8608333333333333,96908.08541666665,0.9420833333333335,0.06833333333333333,0.0
2020-03-18,Brazil,372,3,2,51,2,25.479166666666668,29.3225,0.8362499999999998,35.71,25.616249999999997,0.8362499999999998,191.54416666666668,242.83333333333334,412.9583333333333,173.06708333333336,227.58333333333334,70.04166666666667,0.8683333333333333,96871.4475,0.8095833333333333,0.48,0.0
