date,country,cases,deaths,recovered,cases_daily,deaths_daily,logInfection,logDeaths,temperature (degC),urban_temperature (degC),wind_speed (m/s),humidex (degC),soil_temperature_level_1 (degC),wind_speed (m/s).1,wind_direction (deg),surface_solar_radiation (W/m^2),surface_thermal_radiation (W/m^2),surface_direct_solar_radiation (W/m^2),direct_normal_solar_radiation (W/m^2),surface_diffuse_solar_radiation (W/m^2),relative_humidity (0-1),surface_pressure (Pa),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),snowfall (mm of water equivalent)
2021-01-14,USA,23391852,395694,0,235700,3974,16.96789831456224,12.888396464256282,23.735,28.223750000000006,1.2808333333333335,33.18000000000001,24.810833333333335,1.2808333333333335,213.64499999999998,175.83333333333334,407.2916666666667,73.10416666666667,116.04166666666667,103.08333333333333,0.91,96711.3208333333,0.9495833333333333,0.5108333333333333,0.0
2021-01-15,USA,23634577,399594,0,242725,3900,16.97822132486294,12.898204310628794,23.415000000000003,27.542083333333334,1.1179166666666667,32.696666666666665,24.529583333333324,1.1179166666666667,123.89625000000001,200.08333333333334,407.5833333333333,94.77250000000002,140.375,105.58333333333333,0.9170833333333333,96729.00249999999,0.9345833333333332,0.615,0.0
2021-01-16,USA,23836246,403022,0,201669,3428,16.98671792131933,12.906746430009528,22.946666666666662,26.371666666666666,0.8775,32.12541666666666,23.860416666666666,0.8775,141.86791666666673,98.08333333333333,412.25,17.368749999999995,32.958333333333336,80.91666666666667,0.9362499999999999,96730.96500000001,0.99375,0.5866666666666667,0.0
2021-01-17,USA,24014009,404890,0,177763,1868,16.994147926354106,12.911370704259104,24.0325,26.63833333333334,1.2325000000000002,33.34041666666666,24.447916666666668,1.2325000000000002,134.14833333333328,189.875,411.25,106.28541666666668,150.41666666666666,83.95833333333333,0.8866666666666666,96709.755,0.9837500000000001,0.13833333333333334,0.0
2021-01-18,USA,24157407,406404,0,143398,1514,17.000101599112085,12.915103017717657,23.412916666666664,26.615416666666665,1.752916666666667,32.485416666666666,24.252499999999998,1.752916666666667,107.65708333333329,157.625,406.5416666666667,50.47125000000002,76.66666666666667,107.45833333333333,0.9058333333333336,96712.56,0.92375,0.385,0.0
2021-01-19,USA,24334095,409135,0,176688,2731,17.00738901132454,12.921800453912349,23.661666666666665,27.058749999999993,1.0687500000000003,32.443333333333335,24.17958333333333,1.0687500000000003,199.8575,248.41666666666666,407.0,168.76958333333337,229.16666666666666,79.95833333333333,0.8820833333333331,96776.9779166667,0.9929166666666668,0.23416666666666666,0.0
2021-01-20,USA,24517313,413541,0,183218,4406,17.014890079014467,12.932511942097603,24.217916666666664,28.362500000000008,1.1516666666666668,33.28208333333334,24.752083333333335,1.1516666666666668,132.52750000000003,243.20833333333334,405.0833333333333,169.6025,242.66666666666666,73.83333333333333,0.8654166666666668,96786.06458333333,0.9141666666666666,0.5141666666666667,0.0
2021-01-21,USA,24711116,417722,0,193803,4181,17.022763740846187,12.942571418478222,23.677083333333332,28.2625,1.3070833333333332,32.74375,24.346666666666668,1.3070833333333332,223.79416666666668,237.79166666666666,403.625,136.68375,192.79166666666666,101.29166666666667,0.8924999999999997,96839.47791666667,0.9595833333333333,0.5420833333333334,0.0
2021-01-22,USA,24901853,421555,0,190737,3833,17.030452776336762,12.951705534269687,24.377083333333342,28.795833333333338,1.4304166666666667,33.625833333333325,24.932916666666667,1.4304166666666667,110.84625,256.5416666666667,407.0416666666667,161.50291666666666,216.33333333333334,95.33333333333333,0.8666666666666668,96973.13249999999,0.9079166666666666,0.39916666666666667,0.0
2021-01-23,USA,25072448,424898,0,170595,3343,17.037280111956907,12.959604419101945,24.403333333333332,29.056250000000006,1.4587500000000002,33.1175,24.545833333333334,1.4587500000000002,106.20124999999997,256.9166666666667,402.75,194.18541666666667,275.6666666666667,63.0,0.8399999999999999,96909.47208333331,0.6308333333333331,0.05416666666666667,0.0
2021-01-24,USA,25203499,426796,0,131051,1898,17.04249339204934,12.96406142629459,24.71166666666667,29.288750000000007,1.2325,33.87916666666667,24.679166666666664,1.2325,126.08166666666664,263.2083333333333,400.2083333333333,183.04333333333332,262.125,80.375,0.85,96750.415,0.6475000000000001,0.09083333333333332,0.0
2021-01-25,USA,25355447,428767,0,151948,1971,17.0485041367147,12.968668926822014,24.367500000000003,29.246666666666666,1.1075,33.25625,24.736666666666665,1.1075,150.77541666666667,260.125,402.0833333333333,197.76333333333332,271.8333333333333,62.541666666666664,0.8541666666666665,96720.25708333333,0.7708333333333334,0.45749999999999985,0.0
2021-01-26,USA,25502966,432800,0,147519,4033,17.05430531709023,12.978031006514408,22.79416666666666,28.244583333333335,1.1933333333333336,31.377916666666664,24.422500000000003,1.1933333333333336,142.8179166666667,217.41666666666666,403.75,136.73,172.33333333333334,80.875,0.9108333333333333,96736.05625000001,0.9220833333333335,0.30291666666666667,0.0
2021-01-27,USA,25656244,436753,0,153278,3953,17.060297530755804,12.987123096890857,24.091250000000002,28.1575,1.1329166666666666,32.9425,24.222916666666666,1.1329166666666666,147.9066666666667,216.70833333333334,403.0,107.04500000000002,149.58333333333334,109.91666666666667,0.8616666666666668,96792.41583333333,0.9691666666666667,0.03875,0.0
2021-01-28,USA,25825486,440780,0,169242,4027,17.066872391766765,12.996301163740682,24.16208333333333,28.06375,1.3658333333333335,33.519999999999996,24.334166666666672,1.3658333333333335,191.69708333333332,204.16666666666666,406.6666666666667,103.69125000000003,152.79166666666666,100.70833333333333,0.8845833333333336,96750.59999999998,0.98,0.7700000000000001,0.0
2021-01-29,USA,25992040,444395,0,166554,3615,17.073300895264946,13.004469085559204,24.400000000000002,27.95125,1.0508333333333333,33.635,24.51875,1.0508333333333333,138.95208333333332,192.95833333333334,410.8333333333333,73.50124999999998,117.66666666666667,119.79166666666667,0.8683333333333335,96765.41833333333,0.9887499999999999,0.2612499999999999,0.0
2021-01-30,USA,26134339,447166,0,142299,2771,17.078760678054966,13.010685169310165,24.186666666666667,28.49833333333333,0.7841666666666667,33.19875,24.540416666666662,0.7841666666666667,94.86083333333333,250.25,408.5,171.85125000000002,229.75,78.70833333333333,0.8683333333333332,96870.78916666664,0.9470833333333334,0.29958333333333337,0.0
2021-01-31,USA,26246328,449007,0,111989,1841,17.083036651502702,13.01479375680331,24.487916666666663,29.344166666666677,1.1145833333333333,33.87291666666667,24.84666666666666,1.1145833333333333,100.82458333333334,258.4166666666667,412.0416666666667,184.66458333333333,239.04166666666666,74.0,0.8716666666666667,96858.33708333333,0.8579166666666665,0.21208333333333337,0.0
2021-02-01,USA,26381512,451055,0,135184,2048,17.08817401975953,13.019344562268882,25.595,30.267916666666665,1.2495833333333335,34.81583333333332,25.34125,1.2495833333333335,89.38875000000002,283.25,401.5416666666667,225.29333333333338,319.0416666666667,58.291666666666664,0.8158333333333335,96732.76916666667,0.49249999999999994,0.025833333333333333,0.0
2021-02-02,USA,26496829,454529,0,115317,3474,17.092535623419217,13.027016996944768,25.241250000000004,30.072916666666668,1.4054166666666665,34.532500000000006,25.263333333333335,1.4054166666666665,44.40541666666667,256.2916666666667,401.625,195.35500000000002,267.5416666666667,61.166666666666664,0.8329166666666664,96742.91958333335,0.7575000000000002,0.29333333333333333,0.0
2021-02-03,USA,26618450,458411,0,121621,3882,17.097115142338918,13.035521440604354,24.107916666666664,29.017916666666675,1.0791666666666668,34.23041666666666,24.7925,1.0791666666666668,137.10875,211.25,405.2083333333333,115.25625000000004,167.91666666666666,96.125,0.9279166666666668,96890.15791666666,0.8579166666666668,0.8504166666666665,0.0
2021-02-04,USA,26742411,462155,0,123961,3744,17.101761290120987,13.043655611632559,24.963333333333335,29.37708333333333,0.9049999999999999,34.571666666666665,25.347499999999997,0.9049999999999999,66.21791666666667,249.75,411.9583333333333,174.38666666666668,220.54166666666666,75.625,0.8670833333333333,96853.78875,0.8166666666666665,0.4891666666666666,0.0
2021-02-05,USA,26876801,465779,0,134390,3624,17.106774056120255,13.051466551689154,23.907083333333333,28.488749999999996,1.4066666666666665,33.287499999999994,24.655833333333337,1.4066666666666665,173.90583333333336,173.41666666666666,413.125,76.16333333333334,110.41666666666667,97.54166666666667,0.8991666666666669,96710.97875,0.8924999999999997,0.5520833333333334,0.0
